gds.util.asNode(nodeId).categories,triangleCount
"[Science,Chemistry,Chemical_elements]",8519
"[Science,Physics,Space_Astronomy]",4472
"[Science,Physics,General_Physics]",2300
"[Science,Chemistry,General_Chemistry]",1860
"[Science,Biology,General_Biology]",1736
"[Science,Biology,Mammals]",1292
"[Science,Physics,The_Planets]",1269
"[Science,Biology,Dinosaurs]",1100
"[Science,Biology,Insects_Reptiles_and_Fish]",1065
"[Science,Physics,Electricity_and_Electronics]",996
"[Science,Biology,Evolution_and_reproduction,Science,Biology,General_Biology]",968
"[Science,Biology,Plants]",880
"[Science,Biology,Birds]",868
"[Science,Chemistry,Chemical_elements,Science,Chemistry,General_Chemistry]",792
"[Science,Chemistry,Chemical_compounds]",777
"[Everyday_life,Food_and_agriculture,Science,Biology,Plants]",715
"[Science,Biology,Health_and_medicine]",399
"[Science,Chemistry,Chemical_elements,Geography,Geology_and_geophysics]",323
"[Science,Biology,Organisms]",294
"[Science,Chemistry,Materials_science]",287
"[Science,Physics,Space_transport]",232
"[Science,Biology,Evolution_and_reproduction]",162
"[Citizenship,Environment,Science,Biology,General_Biology]",76
"[Everyday_life,Food_and_agriculture,Science,Chemistry,General_Chemistry]",69
"[Science,Physics,Space_Astronomy,Science,Physics,The_Planets]",64
"[Science,Physics,General_Physics,Science,Physics,Space_Astronomy]",63
"[Science,Biology,General_Biology,Science,Biology,Plants]",52
"[Science,Chemistry,Chemical_compounds,Geography,Climate_and_the_Weather]",33
"[Everyday_life,Everyday_life,Science,Biology,General_Biology]",29
"[IT,Computing_hardware_and_infrastructure,Science,Physics,Electricity_and_Electronics]",27
"[Everyday_life,Everyday_life,Science,Biology,Health_and_medicine]",20
"[Everyday_life,Food_and_agriculture,Science,Biology,Organisms]",19
"[Science,Biology,General_Biology,IT,Software]",18
"[People,Mathematicians,Science,Physics,Space_Astronomy]",18
"[Religion,Religious_disputes,Science,Physics,Space_Astronomy]",18
"[Business_Studies,Business,Science,Chemistry,Chemical_compounds]",18
"[Science,Biology,General_Biology,Science,Chemistry,General_Chemistry]",17
"[Everyday_life,Food_and_agriculture,Science,Biology,Mammals]",16
"[Design_and_Technology,Engineering,Science,Biology,Organisms]",16
"[Everyday_life,Food_and_agriculture,Science,Biology,General_Biology]",13
"[History,British_History,Science,Physics,General_Physics]",13
"[Design_and_Technology,Engineering,Science,Physics,Space_Astronomy]",12
"[Science,Chemistry,Chemical_compounds,Science,Biology,Health_and_medicine]",10
"[Design_and_Technology,Engineering,Science,Physics,Space_transport]",10
"[Science,Biology,Evolution_and_reproduction,Religion,Religious_disputes]",9
"[Citizenship,Environment,Science,Physics,General_Physics]",9
"[Science,Biology,Evolution_and_reproduction,People,Writers_and_critics]",8
"[Everyday_life,Food_and_agriculture,Science,Biology,Health_and_medicine]",5
"[Science,Chemistry,General_Chemistry,Geography,Geology_and_geophysics]",5
"[Science,Biology,Plants,Everyday_life,Recreation]",4
"[Science,Physics,Electricity_and_Electronics,Design_and_Technology,Engineering]",3
"[History,Recent_History,Science,Physics,Space_transport]",2
"[People,Historical_figures,Science,Physics,Space_transport]",2
"[Science,Chemistry,Chemical_compounds,Science,Physics,General_Physics]",1
"[Science,Biology,Health_and_medicine,Science,Biology,Organisms]",1
"[Science,Biology,Birds,Everyday_life,Food_and_agriculture]",0
"[Geography,General_Geography,Science,Biology,Plants]",0
"[Design_and_Technology,Engineering,Science,Physics,General_Physics]",0
"[Science,Biology,Health_and_medicine,History,Recent_History]",0
"[Science,Physics,General_Physics,Science,Physics,Space_transport]",0
"[Science,Biology,General_Biology,Science,Biology,Health_and_medicine]",0
"[Geography,General_Geography,Science,Physics,General_Physics]",0
